,fid,avg_Land_Value
0,797,2108758.1754478067
1,798,2368378.171637398
2,800,1360715.3927398985
3,801,820000.0000000001
4,871,2354814.537295347
5,872,2265881.476929883
6,873,2281875.884867765
7,874,2381674.7282304647
8,875,1943149.1441450906
9,876,1484677.7470014822
10,877,836232.7255810122
11,945,125823.78909065353
12,946,676815.0315396758
13,947,2144407.594465095
14,948,2094547.0081607418
15,949,1852538.7486325952
16,950,1900799.1296586331
17,951,1972810.1632559164
18,952,1539210.4145936328
19,953,1453964.7795745817
20,954,1156799.7493208605
21,955,1224859.7208771273
22,1021,292205.2101957007
23,1022,480357.0695913923
24,1023,1463236.4905269702
25,1024,2147244.2445219136
26,1025,2530401.822705553
27,1028,2001520.7984928626
28,1029,2142256.8338786596
29,1030,1880590.5859387289
30,1031,1166796.558428662
31,1045,670599.4797304054
32,1098,225015.822098115
33,1099,225000.00000000003
34,1100,846528.129032503
35,1101,2275243.2037024153
36,1105,1988153.724778305
37,1106,2204644.8181368243
38,1107,1249492.5720836332
39,1108,750113.0462633871
40,1121,1099218.6938906556
41,1122,1432315.755958888
42,1126,753118.8849888737
43,1174,225000.0
44,1175,233247.02803484738
45,1180,2431577.751021347
46,1181,1985193.2547031045
47,1182,830879.4713235577
48,1183,1086067.552225964
49,1184,1671558.6581284944
50,1185,1861309.7130134348
51,1186,1811660.5608462365
52,1197,2038419.8857276933
53,1198,1466549.5240881743
54,1251,225000.0
55,1252,338326.4847664224
56,1257,1698561.1772368443
57,1258,1746563.8035833677
58,1259,2158585.516936454
59,1260,2351684.922130837
60,1261,1861284.1992740335
61,1262,1569133.835117962
62,1263,1541811.169199966
63,1264,1369196.1258252088
64,1265,704766.0405770448
65,1266,1490837.3412330127
66,1268,793733.9751244636
67,1269,63210.52246141216
68,1273,621580.7760611096
69,1274,1911221.516983809
70,1275,2174619.5585058285
71,1327,1490321.0157165076
72,1332,2963524.5805462324
73,1333,2344684.800060666
74,1334,2969178.316638668
75,1335,2432915.712629837
76,1336,2232034.8244146006
77,1337,1770986.2068150018
78,1338,2067218.124146375
79,1339,1788928.9314181106
80,1340,1389380.9126163688
81,1341,1527964.20937394
82,1342,1405501.4704893532
83,1343,1878947.4872783693
84,1344,1824784.256020469
85,1349,1808227.2004472169
86,1350,2189266.7348727426
87,1351,1605171.0781838095
88,1404,1109076.6105880933
89,1405,2881257.3430989007
90,1407,3025639.0293939863
91,1408,4137128.131202808
92,1409,2354042.257140818
93,1410,1034470.0780613298
94,1411,2478868.328432093
95,1412,2521220.663354764
96,1413,2499531.7988080825
97,1414,1672175.8346680594
98,1415,1776175.0098830257
99,1416,2112895.322050914
100,1417,1847490.9978964808
101,1418,1802772.9942145487
102,1419,2432158.061985029
103,1420,2259069.420201819
104,1421,2111408.869113993
105,1425,1986029.5431579535
106,1426,2238408.177276983
