fid,2017공시지가_avg_Land_Value,2017공시지가_avg_Land_Value_2
873,2411376.01646938,2439121.7835892
872,2365827.1235161,2439121.7835892
798,2006284.63540521,2439121.7835892
874,3331305.87791776,2006284.63540521
873,2411376.01646938,2006284.63540521
797,2439121.7835892,2006284.63540521
876,1216140.53886392,1038204.94448309
875,2311361.10036298,1038204.94448309
801,655033.816213705,1038204.94448309
877,951824.119737859,655033.816213705
876,1216140.53886392,655033.816213705
800,1038204.94448309,655033.816213705
872,2365827.1235161,2400274.59603432
873,2411376.01646938,2365827.1235161
871,2400274.59603432,2365827.1235161
797,2439121.7835892,2365827.1235161
874,3331305.87791776,2411376.01646938
872,2365827.1235161,2411376.01646938
798,2006284.63540521,2411376.01646938
797,2439121.7835892,2411376.01646938
875,2311361.10036298,3331305.87791776
873,2411376.01646938,3331305.87791776
798,2006284.63540521,3331305.87791776
876,1216140.53886392,2311361.10036298
874,3331305.87791776,2311361.10036298
800,1038204.94448309,2311361.10036298
877,951824.119737859,1216140.53886392
875,2311361.10036298,1216140.53886392
801,655033.816213705,1216140.53886392
800,1038204.94448309,1216140.53886392
876,1216140.53886392,951824.119737859
801,655033.816213705,951824.119737859
946,2304136.08430085,255790.361784126
1021,187785.333126651,255790.361784126
947,2801588.79323729,2304136.08430085
945,255790.361784126,2304136.08430085
1021,187785.333126651,2304136.08430085
1022,1295760.66145306,2304136.08430085
948,2584119.54421123,2801588.79323729
946,2304136.08430085,2801588.79323729
1022,1295760.66145306,2801588.79323729
1023,2742687.08330303,2801588.79323729
949,2490751.6286821,2584119.54421123
947,2801588.79323729,2584119.54421123
1023,2742687.08330303,2584119.54421123
1024,1309882.19040707,2584119.54421123
950,2556338.17006318,2490751.6286821
948,2584119.54421123,2490751.6286821
1024,1309882.19040707,2490751.6286821
1025,341341.34546809,2490751.6286821
951,2578917.49672694,2556338.17006318
949,2490751.6286821,2556338.17006318
1025,341341.34546809,2556338.17006318
1026,1044311.09192375,2556338.17006318
952,2070758.66704793,2578917.49672694
950,2556338.17006318,2578917.49672694
1026,1044311.09192375,2578917.49672694
1027,369549.971602306,2578917.49672694
953,1493814.57809538,2070758.66704793
951,2578917.49672694,2070758.66704793
1027,369549.971602306,2070758.66704793
1028,1004773.30538917,2070758.66704793
954,1074948.34516364,1493814.57809538
952,2070758.66704793,1493814.57809538
1028,1004773.30538917,1493814.57809538
1029,1884107.01099578,1493814.57809538
955,1035272.63567027,1074948.34516364
953,1493814.57809538,1074948.34516364
1029,1884107.01099578,1074948.34516364
1030,1342481.98461691,1074948.34516364
954,1074948.34516364,1035272.63567027
1030,1342481.98461691,1035272.63567027
1031,1332703.07068295,1035272.63567027
946,2304136.08430085,187785.333126651
945,255790.361784126,187785.333126651
1022,1295760.66145306,187785.333126651
947,2801588.79323729,1295760.66145306
946,2304136.08430085,1295760.66145306
1021,187785.333126651,1295760.66145306
1023,2742687.08330303,1295760.66145306
948,2584119.54421123,2742687.08330303
947,2801588.79323729,2742687.08330303
1022,1295760.66145306,2742687.08330303
1024,1309882.19040707,2742687.08330303
949,2490751.6286821,1309882.19040707
948,2584119.54421123,1309882.19040707
1023,2742687.08330303,1309882.19040707
1025,341341.34546809,1309882.19040707
950,2556338.17006318,341341.34546809
949,2490751.6286821,341341.34546809
1024,1309882.19040707,341341.34546809
1026,1044311.09192375,341341.34546809
951,2578917.49672694,1044311.09192375
950,2556338.17006318,1044311.09192375
1025,341341.34546809,1044311.09192375
1027,369549.971602306,1044311.09192375
952,2070758.66704793,369549.971602306
951,2578917.49672694,369549.971602306
1026,1044311.09192375,369549.971602306
1028,1004773.30538917,369549.971602306
953,1493814.57809538,1004773.30538917
952,2070758.66704793,1004773.30538917
1027,369549.971602306,1004773.30538917
1029,1884107.01099578,1004773.30538917
954,1074948.34516364,1884107.01099578
953,1493814.57809538,1884107.01099578
1028,1004773.30538917,1884107.01099578
1030,1342481.98461691,1884107.01099578
955,1035272.63567027,1342481.98461691
954,1074948.34516364,1342481.98461691
1029,1884107.01099578,1342481.98461691
1031,1332703.07068295,1342481.98461691
955,1035272.63567027,1332703.07068295
1030,1342481.98461691,1332703.07068295
1099,418819.474836283,283299.456942169
1174,250800,283299.456942169
1098,283299.456942169,418819.474836283
1100,1770563.73772896,418819.474836283
1174,250800,418819.474836283
1175,236241.960470776,418819.474836283
1099,418819.474836283,1770563.73772896
1101,1258823.00062202,1770563.73772896
1175,236241.960470776,1770563.73772896
1176,227362.494610977,1770563.73772896
1100,1770563.73772896,1258823.00062202
1176,227362.494610977,1258823.00062202
1177,125589.184612642,1258823.00062202
1105,2299817.51140491,61689.8047295279
1179,63006.7915169588,61689.8047295279
1180,519395.149847175,61689.8047295279
1104,61689.8047295279,2299817.51140491
1106,2445896.36742402,2299817.51140491
1180,519395.149847175,2299817.51140491
1181,2475201.45008231,2299817.51140491
1105,2299817.51140491,2445896.36742402
1107,1734527.81186313,2445896.36742402
1181,2475201.45008231,2445896.36742402
1182,1533112.07333346,2445896.36742402
1106,2445896.36742402,1734527.81186313
1108,1198640.13629999,1734527.81186313
1182,1533112.07333346,1734527.81186313
1183,1017317.55857434,1734527.81186313
1107,1734527.81186313,1198640.13629999
1183,1017317.55857434,1198640.13629999
1184,1331412.90697415,1198640.13629999
1122,1148913.3718904,1427686.76273221
1197,1925167.05446516,1427686.76273221
1121,1427686.76273221,1148913.3718904
1197,1925167.05446516,1148913.3718904
1198,1862006.41039,1148913.3718904
1098,283299.456942169,250800
1099,418819.474836283,250800
1175,236241.960470776,250800
1099,418819.474836283,236241.960470776
1100,1770563.73772896,236241.960470776
1174,250800,236241.960470776
1176,227362.494610977,236241.960470776
1100,1770563.73772896,227362.494610977
1101,1258823.00062202,227362.494610977
1175,236241.960470776,227362.494610977
1177,125589.184612642,227362.494610977
1101,1258823.00062202,125589.184612642
1176,227362.494610977,125589.184612642
1104,61689.8047295279,63006.7915169588
1180,519395.149847175,63006.7915169588
1104,61689.8047295279,519395.149847175
1105,2299817.51140491,519395.149847175
1179,63006.7915169588,519395.149847175
1181,2475201.45008231,519395.149847175
1105,2299817.51140491,2475201.45008231
1106,2445896.36742402,2475201.45008231
1180,519395.149847175,2475201.45008231
1182,1533112.07333346,2475201.45008231
1106,2445896.36742402,1533112.07333346
1107,1734527.81186313,1533112.07333346
1181,2475201.45008231,1533112.07333346
1183,1017317.55857434,1533112.07333346
1107,1734527.81186313,1017317.55857434
1108,1198640.13629999,1017317.55857434
1182,1533112.07333346,1017317.55857434
1184,1331412.90697415,1017317.55857434
1108,1198640.13629999,1331412.90697415
1183,1017317.55857434,1331412.90697415
1185,2066487.49014914,1331412.90697415
1184,1331412.90697415,2066487.49014914
1186,1924071.00824964,2066487.49014914
1185,2066487.49014914,1924071.00824964
1121,1427686.76273221,1925167.05446516
1122,1148913.3718904,1925167.05446516
1198,1862006.41039,1925167.05446516
1122,1148913.3718904,1862006.41039
1197,1925167.05446516,1862006.41039
1252,89403.2062969188,247045.571074555
1327,40626.5521851297,247045.571074555
1251,247045.571074555,89403.2062969188
1327,40626.5521851297,89403.2062969188
1258,1568829.83849046,1870542.87937272
1333,2059056.13361963,1870542.87937272
1332,110317.892710388,1870542.87937272
1259,1398489.19463198,1568829.83849046
1334,2481592.9750875,1568829.83849046
1333,2059056.13361963,1568829.83849046
1257,1870542.87937272,1568829.83849046
1260,2557599.47878731,1398489.19463198
1335,2570803.89705701,1398489.19463198
1334,2481592.9750875,1398489.19463198
1258,1568829.83849046,1398489.19463198
1261,2192895.40071958,2557599.47878731
1336,2203816.5958137,2557599.47878731
1335,2570803.89705701,2557599.47878731
1259,1398489.19463198,2557599.47878731
1262,1995999.99900912,2192895.40071958
1337,2048969.8750225,2192895.40071958
