fid,id,left,top,right,bottom,row_index,col_index,18도 미만 경사 목록_avgDN,2017공시지가_avg_Land_Value,ResidentialArea,LivingfacilityArea,Data(1014최종)_Label,건물총,건물주거,건축근생,ResidentialAread
"797","938499","1952587.1587","938961.236730489","1952187.1587","36","10",,"1.24336220763037","2439121.7835892","0.695652173913043","0.159420289855072",B,"69","48","11",0.696
"798","938499","1952187.1587","938961.236730489","1951787.1587","37","10",,"0.87261679189779","2006284.63540521","0.775147928994083","0.136094674556213",B,"169","131","23",0.775
"800","938499","1951387.1587","938961.236730489","1950987.1587","39","10",,"0.910469534301037","1038204.94448309","0","0",B,"6","0","0",0.000
"801","938499","1950987.1587","938961.236730489","1950587.1587","40","10",,"0.441607410983504","655033.816213705","0","0",B,"3","0","0",0.000
"871","938846","1953187.1587","939307.646892003","1952787.1587","34","11",,"2.88432686197288","2400274.59603432","0.589108910891089","0.316831683168317",B,"201","119","64",0.592
"872","938846","1952787.1587","939307.646892003","1952387.1587","35","11",,"1.14635755898586","2365827.1235161","0.750915750915751","0.21978021978022",B,"273","205","60",0.751
"873","938846","1952387.1587","939307.646892003","1951987.1587","36","11",,"0.390029251884107","2411376.01646938","0.872623574144487","0.119771863117871",B,"523","458","61",0.876
"874","938846","1951987.1587","939307.646892003","1951587.1587","37","11",,"0.0401174076427017","3331305.87791776","0.581632653061224","0.375",D,"343","200","126",0.583
"875","938846","1951587.1587","939307.646892003","1951187.1587","38","11",,"0.975027452281355","2311361.10036298","0.771929824561403","0.197994987468672",B,"394","307","77",0.779
"876","938846","1951187.1587","939307.646892003","1950787.1587","39","11",,"0.769207804568899","1216140.53886392","0.69047619047619","0.208333333333333",B,"167","116","35",0.695
"877","938846","1950787.1587","939307.646892003","1950387.1587","40","11",,"0.794969186274955","951824.119737859","0","0.285714285714286",B,"6","0","2",0.000
"945","939192","1954187.1587","939654.057053517","1953787.1587","32","12",,"8.17360440122753","255790.361784126","0.25","0.25",B,"3","0","1",0.000
"946","939192","1953787.1587","939654.057053517","1953387.1587","33","12",,"2.89662494357395","2304136.08430085","0.671052631578947","0.171052631578947",B,"76","51","13",0.671
"947","939192","1953387.1587","939654.057053517","1952987.1587","34","12",,"1.42371094970611","2801588.79323729","0.804878048780488","0.0853658536585366",B,"81","66","6",0.815
"948","939192","1952987.1587","939654.057053517","1952587.1587","35","12",,"0.836803389865712","2584119.54421123","0.646616541353383","0.327067669172932",B,"265","171","87",0.645
"949","939192","1952587.1587","939654.057053517","1952187.1587","36","12",,"1.49641223450798","2490751.6286821","0.781869688385269","0.195467422096317",B,"349","274","67",0.785
"950","939192","1952187.1587","939654.057053517","1951787.1587","37","12",,"0.969630280934148","2556338.17006318","0.891341256366723","0.101867572156197",B,"586","523","59",0.892
"951","939192","1951787.1587","939654.057053517","1951387.1587","38","12",,"1.13739080765094","2578917.49672694","0.823529411764706","0.154411764705882",B,"268","221","41",0.825
"952","939192","1951387.1587","939654.057053517","1950987.1587","39","12",,"0","2070758.66704793","0.877333333333333","0.101333333333333",B,"375","329","38",0.877
"953","939192","1950987.1587","939654.057053517","1950587.1587","40","12",,"0.0214640931615278","1493814.57809538","0.869955156950673","0.0672645739910314",B,"222","194","15",0.874
"954","939192","1950587.1587","939654.057053517","1950187.1587","41","12",,"0","1074948.34516364","0","0",B,"13","0","0",0.000
"955","939192","1950187.1587","939654.057053517","1949787.1587","42","12",,"0.479179581269811","1035272.63567027","0","0",B,"7","0","0",0.000
"1021","939539","1953987.1587","940000.467215031","1953587.1587","32","13",,"14.3081309187446","187785.333126651","0","0.5",B,"2","0","1",0.000
"1022","939539","1953587.1587","940000.467215031","1953187.1587","33","13",,"5.14604146459127","1295760.66145306","0.783333333333333","0.133333333333333",B,"120","94","16",0.783
"1023","939539","1953187.1587","940000.467215031","1952787.1587","34","13",,"0.979814702179394","2742687.08330303","0.625","0.333333333333333",B,"71","45","24",0.634
"1024","939539","1952787.1587","940000.467215031","1952387.1587","35","13",,"0.0009940600400255","1309882.19040707","0.69672131147541","0.237704918032787",A,"121","85","29",0.702
"1025","939539","1952387.1587","940000.467215031","1951987.1587","36","13",,"0","341341.34546809","0.742857142857143","0.114285714285714",B,"34","26","4",0.765
"1026","939539","1951987.1587","940000.467215031","1951587.1587","37","13",,"0","1044311.09192375","0.578947368421053","0.368421052631579",A,"19","11","7",0.579
"1027","939539","1951587.1587","940000.467215031","1951187.1587","38","13",,"0","369549.971602306","0","0",,"1","0","0",0.000
"1028","939539","1951187.1587","940000.467215031","1950787.1587","39","13",,"0","1004773.30538917","0.881818181818182","0.0863636363636364",A,"220","194","19",0.882
"1029","939539","1950787.1587","940000.467215031","1950387.1587","40","13",,"0.169730051079765","1884107.01099578","0.741379310344828","0.120689655172414",B,"58","43","7",0.741
"1030","939539","1950387.1587","940000.467215031","1949987.1587","41","13",,"1.25243447610357","1342481.98461691","0","0.466666666666667",B,"15","0","7",0.000
"1031","939539","1949987.1587","940000.467215031","1949587.1587","42","13",,"1.07679758706851","1332703.07068295","0","0.230769230769231",B,"13","0","3",0.000
"1045","939539","1944387.1587","940000.467215031","1943987.1587","56","13",,"9.64691635234435","1043153.97087278","0.7","0.0571428571428571",B,"65","47","4",0.723
"1098","939885","1953787.1587","940346.877376545","1953387.1587","33","14",,"2.67749458492707","283299.456942169","0.8","0",B,"5","4","0",0.800
"1099","939885","1953387.1587","940346.877376545","1952987.1587","34","14",,"3.33566415645379","418819.474836283","0.2","0",B,"5","1","0",0.200
"1100","939885","1952987.1587","940346.877376545","1952587.1587","35","14",,"1.42559645864957","1770563.73772896","0.530612244897959","0.387755102040816",A,"97","52","37",0.536
"1101","939885","1952587.1587","940346.877376545","1952187.1587","36","14",,"0.0094371509669552","1258823.00062202","0.841269841269841","0.142857142857143",A,"63","53","9",0.841
"1104","939885","1951387.1587","940346.877376545","1950987.1587","39","14",,"1.31540981088932","61689.8047295279",,,A,"0","0","0",
"1105","939885","1950987.1587","940346.877376545","1950587.1587","40","14",,"0.628959225597927","2299817.51140491","0","0",B,"6","0","0",0.000
"1106","939885","1950587.1587","940346.877376545","1950187.1587","41","14",,"1.34953469006527","2445896.36742402","0.75","0.125",B,"24","18","3",0.750
"1107","939885","1950187.1587","940346.877376545","1949787.1587","42","14",,"2.22254631448216","1734527.81186313","0.55421686746988","0.240963855421687",B,"83","46","20",0.554
"1108","939885","1949787.1587","940346.877376545","1949387.1587","43","14",,"2.46746741957168","1198640.13629999",,,,"0","0","0",
"1121","939885","1944587.1587","940346.877376545","1944187.1587","56","14",,"8.89355329987411","1427686.76273221","0.782608695652174","0.152173913043478",B,"45","36","6",0.800
"1122","939885","1944187.1587","940346.877376545","1943787.1587","57","14",,"9.06641656417331","1148913.3718904","0.6875","0.2625",B,"76","52","21",0.684
"1126","939885","1942587.1587","940346.877376545","1942187.1587","61","14",,"2.07057928993341","12647.3443244869","0.517241379310345","0.310344827586207",B,"26","13","8",0.500
"1174","940231","1953587.1587","940693.287538058","1953187.1587","33","15",,"0.818483523667402","250800","0","0.25",B,"4","0","1",0.000
"1175","940231","1953187.1587","940693.287538058","1952787.1587","34","15",,"1.06538722842144","236241.960470776","0.142857142857143","0.142857142857143",A,"7","1","1",0.143
