fid,횡단보도개수
797,17
798,4
800,3
801,0
871,22
872,11
873,7
874,16
875,9
876,9
877,1
945,1
946,18
947,19
948,10
949,12
950,5
951,7
952,0
953,3
954,3
955,0
1021,2
1022,16
1023,19
1024,31
1025,22
1026,16
1027,12
1028,25
1029,22
1030,12
1031,3
1045,0
1098,1
1099,5
1100,27
1101,7
1104,18
1105,6
1106,8
1107,9
1108,0
1121,6
1122,12
1126,23
1174,0
1175,2
1176,20
1177,22
1179,19
1180,9
1181,20
1182,12
1183,0
1184,0
1185,21
1186,7
1197,6
1198,15
1251,0
1252,14
1257,22
1258,11
1259,0
1260,8
1261,20
1262,27
1263,9
1264,2
1265,2
1266,1
1268,13
1269,9
1273,14
1274,12
1275,13
1327,1
1332,24
1333,8
1334,15
1335,0
1336,3
1337,23
1338,16
1339,25
1340,14
1341,12
1342,17
1343,7
1344,24
1349,17
1350,13
1351,10
1404,7
1405,25
1407,34
1408,29
1409,27
1410,12
1411,12
1412,7
1413,24
1414,9
1415,21
1416,18
1417,17
1418,32
1419,19
1420,7
1421,26
1425,3
1426,12
1427,26
1428,23
1429,15
1480,21
1481,24
1482,20
1483,23
1484,6
1485,7
1486,4
1487,2
1488,26
1489,8
1490,0
1491,7
1492,6
1493,20
1494,23
1495,36
1496,16
1497,35
1498,3
1499,3
1500,9
1501,17
1502,21
1504,12
1557,5
1558,21
1559,21
1560,20
1561,5
1562,2
1563,11
1564,22
1565,18
1566,0
1567,14
1568,15
1569,1
1570,19
1571,27
1572,0
1573,5
1574,4
1575,13
1576,9
1577,15
1578,7
1584,0
1633,15
1634,20
1635,20
1636,22
1637,22
1638,10
1639,2
1640,3
1641,0
1642,4
1643,13
1644,19
1645,20
1646,11
1647,17
1648,4
1649,2
1650,1
1651,32
1652,19
1653,7
1710,9
1711,21
1712,14
1713,29
1714,15
1715,0
1716,1
1717,1
1718,1
1719,8
1720,11
1721,10
1722,14
1723,33
1724,8
1725,17
1726,17
1727,12
1728,4
1729,19
1730,7
1731,4
1732,14
1786,12
1787,18
1788,13
1789,3
1790,0
1791,0
1793,6
1794,0
1795,7
1796,10
1797,15
