fid,id,left,top,right,bottom,row_index,col_index,18도 미만 경사 목록_avgDN,2017공시지가_avg_Land_Value,2017사업체수
797,938499,1952587.1587,938961.236730489,1952187.1587,36,10,,1.24336220763037,2439121.7835892,23
798,938499,1952187.1587,938961.236730489,1951787.1587,37,10,,0.87261679189779,2006284.63540521,32
800,938499,1951387.1587,938961.236730489,1950987.1587,39,10,,0.910469534301037,1038204.94448309,0
801,938499,1950987.1587,938961.236730489,1950587.1587,40,10,,0.441607410983504,655033.816213705,0
871,938846,1953187.1587,939307.646892003,1952787.1587,34,11,,2.88432686197288,2400274.59603432,173
872,938846,1952787.1587,939307.646892003,1952387.1587,35,11,,1.14635755898586,2365827.1235161,116
873,938846,1952387.1587,939307.646892003,1951987.1587,36,11,,0.390029251884107,2411376.01646938,110
874,938846,1951987.1587,939307.646892003,1951587.1587,37,11,,0.0401174076427017,3331305.87791776,220
875,938846,1951587.1587,939307.646892003,1951187.1587,38,11,,0.975027452281355,2311361.10036298,185
876,938846,1951187.1587,939307.646892003,1950787.1587,39,11,,0.769207804568899,1216140.53886392,63
877,938846,1950787.1587,939307.646892003,1950387.1587,40,11,,0.794969186274955,951824.119737859,0
945,939192,1954187.1587,939654.057053517,1953787.1587,32,12,,8.17360440122753,255790.361784126,0
946,939192,1953787.1587,939654.057053517,1953387.1587,33,12,,2.89662494357395,2304136.08430085,98
947,939192,1953387.1587,939654.057053517,1952987.1587,34,12,,1.42371094970611,2801588.79323729,132
948,939192,1952987.1587,939654.057053517,1952587.1587,35,12,,0.836803389865712,2584119.54421123,236
949,939192,1952587.1587,939654.057053517,1952187.1587,36,12,,1.49641223450798,2490751.6286821,152
950,939192,1952187.1587,939654.057053517,1951787.1587,37,12,,0.969630280934148,2556338.17006318,108
951,939192,1951787.1587,939654.057053517,1951387.1587,38,12,,1.13739080765094,2578917.49672694,61
952,939192,1951387.1587,939654.057053517,1950987.1587,39,12,,0,2070758.66704793,74
953,939192,1950987.1587,939654.057053517,1950587.1587,40,12,,0.0214640931615278,1493814.57809538,48
954,939192,1950587.1587,939654.057053517,1950187.1587,41,12,,0,1074948.34516364,0
955,939192,1950187.1587,939654.057053517,1949787.1587,42,12,,0.479179581269811,1035272.63567027,1
1021,939539,1953987.1587,940000.467215031,1953587.1587,32,13,,14.3081309187446,187785.333126651,1
1022,939539,1953587.1587,940000.467215031,1953187.1587,33,13,,5.14604146459127,1295760.66145306,38
1023,939539,1953187.1587,940000.467215031,1952787.1587,34,13,,0.979814702179394,2742687.08330303,73
1024,939539,1952787.1587,940000.467215031,1952387.1587,35,13,,0.0009940600400255,1309882.19040707,37
1025,939539,1952387.1587,940000.467215031,1951987.1587,36,13,,0,341341.34546809,137
1026,939539,1951987.1587,940000.467215031,1951587.1587,37,13,,0,1044311.09192375,17
1027,939539,1951587.1587,940000.467215031,1951187.1587,38,13,,0,369549.971602306,10
1028,939539,1951187.1587,940000.467215031,1950787.1587,39,13,,0,1004773.30538917,102
1029,939539,1950787.1587,940000.467215031,1950387.1587,40,13,,0.169730051079765,1884107.01099578,51
1030,939539,1950387.1587,940000.467215031,1949987.1587,41,13,,1.25243447610357,1342481.98461691,7
1031,939539,1949987.1587,940000.467215031,1949587.1587,42,13,,1.07679758706851,1332703.07068295,11
1045,939539,1944387.1587,940000.467215031,1943987.1587,56,13,,9.64691635234435,1043153.97087278,18
1098,939885,1953787.1587,940346.877376545,1953387.1587,33,14,,2.67749458492707,283299.456942169,0
1099,939885,1953387.1587,940346.877376545,1952987.1587,34,14,,3.33566415645379,418819.474836283,0
1100,939885,1952987.1587,940346.877376545,1952587.1587,35,14,,1.42559645864957,1770563.73772896,68
1101,939885,1952587.1587,940346.877376545,1952187.1587,36,14,,0.0094371509669552,1258823.00062202,26
1104,939885,1951387.1587,940346.877376545,1950987.1587,39,14,,1.31540981088932,61689.8047295279,27
1105,939885,1950987.1587,940346.877376545,1950587.1587,40,14,,0.628959225597927,2299817.51140491,36
1106,939885,1950587.1587,940346.877376545,1950187.1587,41,14,,1.34953469006527,2445896.36742402,14
1107,939885,1950187.1587,940346.877376545,1949787.1587,42,14,,2.22254631448216,1734527.81186313,20
1108,939885,1949787.1587,940346.877376545,1949387.1587,43,14,,2.46746741957168,1198640.13629999,0
1121,939885,1944587.1587,940346.877376545,1944187.1587,56,14,,8.89355329987411,1427686.76273221,22
1122,939885,1944187.1587,940346.877376545,1943787.1587,57,14,,9.06641656417331,1148913.3718904,53
1126,939885,1942587.1587,940346.877376545,1942187.1587,61,14,,2.07057928993341,12647.3443244869,9
1174,940231,1953587.1587,940693.287538058,1953187.1587,33,15,,0.818483523667402,250800,0
1175,940231,1953187.1587,940693.287538058,1952787.1587,34,15,,1.06538722842144,236241.960470776,0
1176,940231,1952787.1587,940693.287538058,1952387.1587,35,15,,0.499044149722368,227362.494610977,30
1177,940231,1952387.1587,940693.287538058,1951987.1587,36,15,,0.847902138263626,125589.184612642,285
1179,940231,1951587.1587,940693.287538058,1951187.1587,38,15,,0.382354511059692,63006.7915169588,46
1180,940231,1951187.1587,940693.287538058,1950787.1587,39,15,,0.279377179939278,519395.149847175,27
1181,940231,1950787.1587,940693.287538058,1950387.1587,40,15,,1.01171323018823,2475201.45008231,102
1182,940231,1950387.1587,940693.287538058,1949987.1587,41,15,,7.52019848502864,1533112.07333346,2
1183,940231,1949987.1587,940693.287538058,1949587.1587,42,15,,8.14514112906092,1017317.55857434,5
1184,940231,1949587.1587,940693.287538058,1949187.1587,43,15,,3.12488684480677,1331412.90697415,36
1185,940231,1949187.1587,940693.287538058,1948787.1587,44,15,,2.71263962966,2066487.49014914,75
1186,940231,1948787.1587,940693.287538058,1948387.1587,45,15,,2.93814192794238,1924071.00824964,186
1197,940231,1944387.1587,940693.287538058,1943987.1587,56,15,,4.85749536314237,1925167.05446516,9
1198,940231,1943987.1587,940693.287538058,1943587.1587,57,15,,2.85530135473031,1862006.41039,29
1251,940578,1953387.1587,941039.697699572,1952987.1587,34,16,,0,247045.571074555,0
1252,940578,1952987.1587,941039.697699572,1952587.1587,35,16,,0.81867124122397,89403.2062969188,0
1257,940578,1950987.1587,941039.697699572,1950587.1587,40,16,,0.88351726725356,1870542.87937272,58
1258,940578,1950587.1587,941039.697699572,1950187.1587,41,16,,5.68238012831407,1568829.83849046,24
1259,940578,1950187.1587,941039.697699572,1949787.1587,42,16,,9.94127600732734,1398489.19463198,0
