fid,HousingUnitAreaPrice
797,3107732.280
798,2942874.212
800,
801,
871,2503806.129
872,2348085.488
873,2993888.109
874,3404943.353
875,2590394.328
876,2164139.000
877,
945,
946,2750512.973
947,3059520.500
948,2714760.558
949,2756267.842
950,3107312.413
951,2992565.194
952,2695825.022
953,3073174.974
954,
955,
1021,
1022,2280891.740
1023,3575201.483
1024,2715090.774
1025,3652078.250
1026,3244652.500
1027,
1028,3135763.750
1029,3014160.000
1030,
1031,
1045,1989768.838
1098,3567393.500
1099,4036711.000
1100,3516291.333
1101,4318353.417
1104,
1105,
1106,5186152.615
1107,2680472.735
1108,
1121,3079045.400
1122,2606160.367
1126,
1174,
1175,
1176,3700309.600
1177,3409207.500
1179,
1180,5194472.333
1181,5254529.138
1182,4512141.167
1183,1987719.400
1184,2077804.366
1185,1750035.360
1186,1811739.033
1197,2844408.400
1198,2493981.333
1251,
1252,
1257,4216439.556
1258,2452565.325
1259,3266025.222
1260,2867100.065
1261,2095373.412
1262,1940856.205
1263,1881820.612
1264,1812617.308
1265,2095203.429
1266,1722810.886
1268,3299448.000
1269,3703930.000
1273,2017096.446
1274,2134506.850
1275,2448350.524
1327,
1332,
1333,2391476.444
1334,2335678.446
1335,2498521.954
1336,2342522.842
1337,2028463.441
1338,1897561.895
1339,1901372.612
1340,2023578.188
1341,1652360.750
1342,1675192.113
1343,2182023.000
1344,2880984.375
1349,2044542.674
1350,
1351,2825028.159
1404,2304278.700
1405,4037815.000
1407,
1408,5454304.167
1409,2977136.235
1410,3435631.985
1411,4696436.917
1412,2243494.987
1413,2296063.070
1414,2191316.061
1415,2247471.437
1416,2114777.753
1417,2247452.405
1418,2020433.345
1419,1841843.640
1420,1731608.952
1421,3345657.294
1425,2057704.986
1426,2498813.595
1427,2504482.000
1428,2572833.500
1429,3140029.800
1480,2963870.821
1481,3751470.667
1482,4073540.609
1483,4267578.000
1484,4010094.000
1485,2449536.521
1486,3138195.000
1487,2100847.121
1488,2304384.776
1489,2244066.422
1490,2198820.563
1491,2457379.000
1492,2216758.543
1493,2061219.310
1494,2241158.789
1495,2955600.228
1496,3157962.469
1497,3295429.100
1498,1866848.667
1499,1834097.673
1500,2171707.854
1501,2464438.828
1502,2046251.638
1504,
1557,3920811.111
1558,3640403.625
1559,3869249.636
1560,3504058.231
1561,3765009.444
1562,2129837.631
1563,2212075.225
1564,2136488.664
1565,2071787.976
1566,2077655.785
1567,2238250.958
1568,2633889.149
1569,1950269.073
1570,2326881.060
1571,2783185.391
1572,3028099.333
1573,2894971.800
1574,2450067.615
1575,2137165.045
1576,2232748.932
1577,2523135.700
1578,1806912.321
1584,
1633,3958509.667
1634,3977219.000
1635,3780676.522
1636,3139622.258
1637,2398768.000
1638,2201019.962
1639,2164153.483
1640,2143627.415
1641,2046481.943
1642,2153284.997
1643,2266028.292
1644,2192882.929
1645,2556565.500
1646,2473764.077
1647,2417474.159
1648,3153875.000
1649,3247844.143
1650,1759740.338
1651,2215928.462
1652,2313144.909
1653,2204745.160
1710,3467593.741
1711,3889310.250
1712,2369684.294
1713,2616536.707
1714,2055163.041
1715,1827294.333
1716,1832584.667
1717,1986265.057
1718,2152820.453
1719,2240615.721
1720,2319146.776
1721,2448919.634
1722,2376845.941
1723,3338607.333
1724,3261335.962
1725,3674268.813
1726,2296381.727
1727,2270047.762
1728,2052126.651
1729,2537915.333
1730,2230044.522
1731,2090186.136
1732,2314489.355
1786,3968950.370
1787,4094161.263
1788,2938825.237
1789,2422922.133
1790,2590198.393
1791,2410304.050
1793,2077289.434
1794,2302663.372
1795,2390815.233
1796,2266352.509
1797,2381292.841
1798,3144170.417
1799,6221921.000
1800,6180631.313
1801,5053463.750
1802,3248506.833
1803,2700716.447
1804,2826481.318
1805,2155405.773
1806,3507062.351
1863,3518053.167
1864,3668132.000
