fid,공공문화체육
797,1
798,2
800,0
801,0
871,2
872,0
873,1
874,1
875,0
876,1
877,0
945,0
946,5
947,2
948,0
949,0
950,2
951,2
952,0
953,1
954,0
955,0
1021,0
1022,1
1023,0
1024,12
1025,2
1026,1
1027,0
1028,1
1029,0
1030,0
1031,0
1045,0
1098,0
1099,0
1100,1
1101,8
1104,18
1105,4
1106,1
1107,0
1108,0
1121,2
1122,0
1126,1
1174,0
1175,0
1176,0
1177,7
1179,0
1180,0
1181,3
1182,7
1183,0
1184,0
1185,1
1186,1
1197,2
1198,1
1251,0
1252,0
1257,2
1258,3
1259,1
1260,2
1261,2
1262,0
1263,2
1264,0
1265,0
1266,0
1268,0
1269,0
1273,1
1274,0
1275,0
1327,0
1332,12
1333,1
1334,1
1335,3
1336,0
1337,0
1338,2
1339,0
1340,0
1341,1
1342,0
1343,1
1344,3
1349,0
1350,0
1351,0
1404,1
1405,1
1407,0
1408,0
1409,1
1410,1
1411,0
1412,1
1413,0
1414,1
1415,0
1416,0
1417,0
1418,0
1419,0
1420,2
1421,3
1425,0
1426,0
1427,3
1428,2
1429,3
1480,1
1481,1
1482,3
1483,2
1484,0
1485,0
1486,0
1487,0
1488,0
1489,1
1490,0
1491,0
1492,1
1493,1
1494,0
1495,0
1496,2
1497,2
1498,1
1499,1
1500,1
1501,0
1502,0
1504,6
1557,6
1558,1
1559,1
1560,0
1561,0
1562,0
1563,1
1564,1
1565,1
1566,0
1567,0
1568,0
1569,0
1570,0
1571,4
1572,2
1573,3
1574,4
1575,1
1576,0
1577,0
1578,0
1584,0
1633,4
1634,0
1635,5
1636,0
1637,1
1638,1
1639,0
1640,0
1641,0
1642,0
1643,0
1644,3
1645,2
1646,3
1647,2
1648,1
1649,2
1650,1
1651,0
1652,0
1653,1
1710,1
1711,0
1712,2
1713,0
1714,1
1715,0
1716,0
1717,0
1718,0
1719,1
1720,0
1721,0
1722,0
1723,1
1724,3
1725,2
1726,0
1727,0
1728,1
1729,1
1730,0
1731,0
1732,0
1786,0
1787,1
1788,0
1789,0
1790,1
1791,0
1793,2
1794,0
1795,0
1796,1
1797,0
1798,0
1799,3
1800,0
1801,1
1802,2
1803,2
1804,0
1805,0
1806,0
1863,3
1864,1
1865,1
1866,2
1867,2
1868,1
1869,2
1870,0
1871,0
1872,0
1873,0
1874,2
1875,1
1876,1
1877,0
1878,1
1879,0
1880,1
1881,0
1882,0
1935,0
1940,0
1941,0
1942,0
1943,1
1944,0
1945,0
1946,2
1947,0
1948,0
1949,2
1950,1
1951,8
1952,0
1953,0
1954,0
1955,0
1956,3
1957,1
2012,0
2017,3
2018,1
2019,1
2020,0
2021,0
2022,1
2023,2
2024,1
2025,0
2026,1
2027,5
2028,2
2029,4
2030,1
2031,0
2032,1
2033,1
2087,0
2088,0
2093,2
2094,0
2095,2
2096,0
2097,0
2098,2
2099,1
2100,1
2101,1
2102,2
2103,1
2104,1
2105,0
2106,0
