fid,도로길이,도로개수
797,1514.89024675518,12
798,2621.13900806334,30
800,775.686021337859,4
801,15.5334735718215,1
871,4292.61585684347,45
872,3970.06815509321,46
873,5482.91820550711,79
874,5079.69457757453,77
875,4774.0368892683,63
876,2376.30652977857,27
877,347.595164579811,1
945,860.119062939352,4
946,2192.68970240416,17
947,2219.15636251747,19
948,4168.06256203559,39
949,4847.5179168064,66
950,5628.96897621529,85
951,3908.2729987918,50
952,4264.67289182669,39
953,3332.95142199048,24
954,545.067702626066,3
955,675.04976088084,3
1021,1352.50681960362,5
1022,3081.12908828419,23
1023,2406.59077750341,16
1024,3325.29147294023,27
1025,2501.02117780223,17
1026,1452.23001865053,13
1027,1599.06550158935,6
1028,3550.94665723944,30
1029,1779.45964684893,10
1030,1464.59993308141,7
1031,821.725507918856,3
1045,2258.74230141002,23
1098,240.772417286546,2
1099,326.428214717348,2
1100,2956.83426996409,17
1101,1523.69451119724,16
1104,1074.21243795495,4
1105,372.415529282904,4
1106,612.550321412401,3
1107,1942.13166980158,13
1108,428.809628481859,2
1121,856.846627300766,6
1122,1884.42174806572,16
1126,2081.08644127633,6
1174,0,0
1175,573.095962075338,5
1176,1715.14368729721,12
1177,1665.32965863148,8
1179,1597.70728482154,7
1180,621.803063557882,4
1181,1236.31415318969,7
1182,870.002191862217,4
1183,320.541427096451,5
1184,1395.45103078505,12
1185,2192.70762822967,12
1186,4441.69549622429,35
1197,877.961452120918,5
1198,1880.72013210704,10
1251,0,0
1252,1316.23898758771,6
1257,1631.02339844162,14
1258,1702.40910446475,20
1259,118.340131770952,1
1260,669.080575095664,6
1261,3039.32546429868,24
1262,3616.30705837707,30
1263,3708.24530309216,25
1264,1440.07915627314,12
1265,696.785710394491,4
1266,1773.13960720773,12
1268,1016.03883628218,3
1269,484.16399850622,2
1273,3242.07865470941,21
1274,1678.39373261604,12
1275,1377.78518744201,15
1327,68.4630010157481,1
1332,1420.52731324284,7
1333,3524.75957367865,36
1334,3821.08196463666,43
1335,2764.05180542972,29
1336,4749.82914837952,64
1337,5164.7204539313,61
1338,4675.30190900267,35
1339,4161.3045510167,31
1340,2936.23468648941,25
1341,3579.78006752328,28
1342,2345.97693080315,21
1343,600.92413660896,5
1344,995.496750080594,5
1349,3059.92103308542,35
1350,1409.01716077436,16
1351,2226.49234241264,17
1404,1983.19584271382,18
1405,1844.00711741395,9
1407,2512.39860777021,16
1408,2414.22505308248,19
1409,3209.55825651744,27
1410,2373.12220173849,20
1411,1250.15814454948,8
1412,4458.00530942755,50
1413,4678.89697020531,63
1414,4631.8063198542,42
1415,4464.21771028501,33
1416,4969.61050653097,49
1417,2929.36493448807,24
1418,3239.34733438806,25
1419,2744.93294766161,15
1420,1604.74792837261,12
1421,1657.22679970983,5
1425,4162.06172781883,50
1426,2868.97625636639,30
1427,2733.70492113228,21
1428,2069.67873955504,21
1429,1022.65433913522,4
1480,3375.20093378165,37
1481,2577.02615883296,18
1482,1657.57251985375,9
1483,2086.40320596272,14
1484,2044.22444078509,15
1485,2006.40195091589,20
1486,1353.67542396174,9
1487,2470.88016239388,29
1488,4651.13600601948,48
1489,4267.72338991567,40
1490,4443.44266546313,33
1491,4697.26193328892,44
1492,4480.70314696032,43
1493,3392.54026958705,18
1494,3392.89111206653,22
1495,2212.32278811116,16
1496,1846.30591492543,11
1497,1497.31519123903,6
1498,806.809901209501,13
